Sentence,Emotion
con bé xinh ghê,1
kaka cái mặt bà kìa,1
lâu lâu tự nhiên ghen mặc dù đéo là gì của nhau 🙃🙃🙃,-1
per tự nhiên thấy mình hơi thất đức,0
tưởng tượng mà dưới sông có cá sấu nữa chắc hết dám đi,-1
cần xem cái kết của bọn này,0
quá nguy hiểm,-1
maii ban thanh nhung nhớ cái này không hic 😭😭😭😭😭,-1
hoàng thượng mặc áo đầu lâu mới sợ chứ,0
tao chả bao giờ làm thế,0
dume thằng mất dạy !,-1
chưa bao giờ còn yêu nhiều hơn thế 😍😍 bởi cha mẹ cho tôi tất cả,1
cuốn sổ vô dụng nhất mà tôi từng biết . ơn giời nó không còn nữa,-1
có những người như chủ thớt bảo sao đất nước không phát triển,-1
má lỡ té xuống 1 cái tao nói lên tắm 8 năm cũng đéo sạch nữa,-1
tao khuyên bọn mày đừng dắt bọn con gái theo . nó bắt bọn mày cõng nhảy qua đấy :))),-1
bệnh quá   xấu mặt người dân 1 vùng quê đồng bằng bắc bộ,-1
hai bác học nghiêm túc ghê :))),1
không thấy hay ho gì cả,-1
bóp dái thật mạnh xem còn dám sàm sỡ không,-1
mấy đứa chân ngắn qua sao,-1
ôi vãi nhìn ảnh giật mình đám nghiệt súc cười nhé răng !!!!!! đhs ... 😞 đẻ ra đau bết cả lồn,-1
bác nói vậy thì tao cũng quì,0
cứ thải trực tiếp ra sông thì có xử lý công nghệ mặt trăng cũng bó tay,-1
tao bảo 99   99999 % là mấy ông ngoài bắc và kiểu chửi này cũng ngoài bắc vì tao cũng bị chửi vậy khi còn bé . h thì bình thường nhưng nghĩ lại buồn chứ không vui đâu tụi bay . ngoài bắc cách giáo dục là miệt thị . ko đồng ý,-1
phim này ý nghĩa lắm,1
ảnh đẹp lắm   nhưng không có những người khổ này thì sẽ đẹp hơn 🙂,0
thì bác cứ tranh luận đi   bác nói đúng thì mình cũng chả nói gì   còn mình thấy cái kiểu cậy nhà mặt đường nhưng tư tưởng nhắn tin kia thì kiểu gì cũng có ngày sấp mặt .,-1
yêu thế,1
nhưng vẫn tồn tại nhiều đứa con gái không như vậy mà ??,0
làm sao mặc áo được ta 😂😂,1
ê tao cũng hay giữ mấy cái linh tinh lại như vậy để vài năm sau mở ra xem lại có cảm giác hoài niệm   mà mẹ tao bắt tao vứt hết rồi 😢,-1
ảnh đẹp quá 😍,1
t không tiếc mấy ly trà sữa   chỉ thấy tội cho mấy cô lao công dọn dẹp mà thôi 😔,-1
người lớn tuổi nhiều lúc rất dễ thương 😊❤,1
sao giốg với mình v . nhưg mình từ bỏ rồi người ta hình như cũng có người khác . từ đầu là do mình ảo tưởg thôi giờ thì tỉnh đi cô gái ạ,-1
tôi đập cho toè cái mỏ lun nha,-1
có ai ngu như tao không đơn phương con nhỏ cạnh nhà 4 năm mặc dù nó ngồi chung bàn với tao suốt mấy năm cấp 3 :(((,-1
ở nhà vênh lắm đi bộ đội thì yếu ớt vãi,-1
thương mấy anh quá mà tao không kiềm được vẫn phải thả haha,1
bẩn vãi,-1
đường của nhà nước co phải nhà cụ đâu mà kêu ca,-1
sao giống tôi rứa hỉ ...,1
đm độc bình luận toàn kêu chọn nghề khác dume đây đéo phải nói tới cái nghề mà là nói tới ý thức của tụi mày đó đầu trâu óc chó . nếu chọn nghề khác thì dume ai làm công việc đó ... nghề chọn mình mình không chọn nghề được ... kể cả làm phò như tụi mày cũng vậy,-1
mai người ta đi học mai tao đi du lịch ố la la =))))))))))))),1
có khi nào kết hôn xong nó giết lấy tiền bảo hiểm không,-1
nó mà cắn ai 1 phát thì ... nghĩ thôi đã rùng mình,-1
mát lồng lộng mày ạ,1
mưa lắm các con giời ở nhà ngủ cho khoẻ nhé .,0
năm nay con bao nhiêu tuổi rồi ? =)),0
vì chúng ta không nên nói chuyện với nhau nữa,-1
tao xin bổ sung thêm,0
ngu và ngang ngược quen rồi   chừa tật nhé,-1
có người sinh ra đã làm ban giám khảo anh nhé kk,1
thật buồn khi mình thịt vợ thang khác mà thằng khác thịt vợ tưong lai mình,-1
hay bị giật khô trên đó rồi :(,-1
đm lũ chó bán thịt lợn sán cho các cháu lũ đấy phải tìm ra và xử tử hết . loz mẹ chúng mày vì lợi nhuận giết hết cả tương lai đất nước   dume lũ chó chết,-1
đéo có người thương để mà làm ấy chứ :(,-1
per chồng xem đi   hài lắm,1
per dume lần sau có tỏ tình thì cũng 1 vừa 2 phải thôi,-1
chạy ngay đi 😨😨 trước khi bọn chủ tịch vào đây và giả làm con c * c gì đó rồi bị coi thường và tụi bay phải nhận cái kết đấy . 😬😬😬😬,0
nhưng mà từ giờ trở đi đéo được tiếp xúc rồiii,-1
per cùng suy nghĩ   và sợ cả điện giật nữa   giờ cứ ngồi cho chắc ăn .,0
cái này ở shop đồng giá 40k aeon có nè   tê tới dái luôn,1
ngày buồn nhất trời đổ cơn mưa :(,-1
không có khúc rớt dt hả .. 😑,0
như con điên :)),-1
tao lại bị mọc lông chân rồi :((,-1
sao bắt nhanh thế sáng đọc báo có tin chôm ngân ngàng chiều đọc báo đã bắt được rồi,1
mỗi lần tao ăn đu đủ bằng thìa thì bố tao lại chửi tao . bố tao bảo loại mày ăn đu đủ không cần thìa đâu .,-1
"vãi cả ngứa mắt :)). lập luận rất là có cái "" lí "" luôn . đấy   ngứa mắt là sai cả lí rồi nhé mấy ông đỗ xe =)))",-1
mua thuốc ngoài thú y sức vào vài ngày nó không bám nữa,0
tao cũng hay nằm mơ con mèo của mình nó về   tao tưởng thật nên khóc cả trong mơ lẫn ngoài đời . nhưng nó đâu có thể về được nữa ...,-1
giá mà có ai để giận :v,-1
chân ta cũng là chân đi và giờ bị đứt dây chằng   nằm một chỗ đợi mổ rồi mày . đồng cảm vãi,-1
ai ở gần đó xin hãy giúp chú   thương chú,-1
cuối ngày hình ảnh của ông bà là đẹp nhất ... chúc ông bà mãi hạnh phúc sống thật lâu lâu nhé 😘😘😘,1
cắt như anh này gọn gàng thoáng mát nhé auto đẹp trai,0
có thể xương của mày nó bị giòn   xuất viện nhớ bổ sug thêm nhiều canxi nhé,0
per 1 lần chơi lớn xem em có trầm trồ,0
xin lỗi mày nhưng tao đọc buồn cười,1
trải qua một cuộc bể dâu . những điều trông thấy mà đau đớn lòng,-1
t nghĩ thằng châu phi kia nó rất nhiều tiền,0
per đi đâu cũng nghe bài này riết muốn tắt dẹp cho rồi,-1
nhìn thấy ghét ...,-1
per xàm lol giáo dục đéo gì,-1
per biết phân biệt phải trái không vậy ??? và có biết đỗ như thế nào là đúng luật không ???,-1
chán mấy ông thanh niên .,-1
trẻ trâu thời nào cũng có thông cảm đi,-1
cũng là chị em nó làm nhà trẻ nên chịu thôi,0
bắt được rồi cho bọn này đi chết đi để chúng nó sống rồi làm hại người khác,-1
đốt cháy túi tiền thì ở nhà cho rồi . xem chi không biết,-1
per có thằng bị tao bắn từ đó không thấy họa mi hót nữa luôn,1
hôm qua tôi đi grab gặp được bạn đẹp trai   thơm phức nè . có cô gái nào có hứng thú hem ?,1
đẹp quá v 😍😍,1
:) thế trong trường hợp này thì sao ? có nhiều xe lắm đâu cụ,0
lo cho thang bé lỡ rớt điện thoại xuống nước thì ....,-1
per dăm ba cái con nhện :))))),0
ủa rồi chân một khúc như tao nhảy kiểu gì ? 🙂,0
trong 1 năm đó bố mẹ ông cho ông 10 tỷ đố là tiêu vặt và 1 con lám bồ để đi giao hàng,0
k chăm được thì đừng nuôi nhìn tội quá ??,-1
có hôm nó lo đọc cho mình nên không chép kịp bài   cô giáo bắt phạt đánh đòn cả hai đứa . năm sau bạn í chuyển trường mất   nhớ bạn quá !,-1
đừng ám tao nữa   sợ lắm,-1
tao gửi từ ngã tư đồng đội cơ mà đi xa vãi,0
lạ kì thật   một kì thi quan trọng như vầy mà vẫ nhầm đề được .,-1
định mệnh tao lại quên mang áo mưa,-1
chia buồn cùng người dân và đất nước pháp,-1
"per mày ơi trò này lợi hại nè áp dụng ngay :"")))",1
per :))) không bù cho nhũng người như cta,-1
ôi gu mình !! mà phim lâu quá rùi giờ mà đóng lại bản khác thì không biết sao haaa,1
giống hệt mình   nhưng bạn may mắn hơn vì bên này quyết trốn nợ tận cùng,-1
đéo mẹ bệnh viện chứ có phải chỗ gửi xe đâu   nó niêm yết rõ ràng như thế kêu ca cái gì,-1
per ngày mai là ngày gì mà ra lắm phim vậy bạn ?,1
ước gì con về với mẹ .... đợi mấy tháng rồi vẫn chưa thấy bóng dáng con   mong con vẫn sống ...,-1
chất đó có làm mềm não không ?,0
em này có cạo lông không ta sao nhìn lông ngăn quá,0
ngày nào cũng thấy tàu trật bánh   khá buồn,-1
tao thấy nhảm quá,-1
y tế 24tr tháng á ???? kinh vầy ???,1
thế mày lại ghép nhạc vào làm gì cho con bé bị tán mấy chục cái   mày ác lắm,-1
per em đã tìm ra giải pháp thiết kế rồi nhé :))),1
sad cực mạnh,-1
per may cho bạn 😄😄😄,1
đợi đến ngày họp lớp đi 😪,-1
tao thích con trai đầu tóc gọn gàng vãi_chưởng 🙃,1
hành động đẹp chứ sao   đằng nào cũng tiệt kiệm hơn :)) 0,1
chỉ ước về sau mình được vay,1
bạn bè nói chuyện cũng chụp post facebook   vui không ?,-1
per mệt quá mấy con ơi,-1
nói tóm lại là nó thích đỗ đâu thì nó đỗ mình thích thì mình gọi công an . chứ mình không có quyền,0
"mới đây mẹ tao giúp tao làm lại giấy khai sinh . mẹ có hỏi "" mày sinh ngày mấy để mẹ làm ""😑",-1
tôi muốn có một mối tình bình dị .,0
hú hồn chim én :)),-1
phải có bao nhiêu tình cảm mới có thể viết ra được những dòng này ...,-1
bờ biển thì rộng   có những chỗ mày viết có thể rất lâu sau mới bị lấp đi tại sao chọn chỗ khó khăn nhất vậy . thảo nào đéo bao giờ có người yêu :)),-1
mệt mõi 😥,-1
đã thử và rất thích thú 😆.,1
ủa bất ngờ đây   thanh niên nào đây =)))),1
con này chăm sóc n là n bao đẹp ><,1
dume   phải con tao thì đéo bao giờ chúng mày có cơ hội xin lỗi luôn .,-1
thiệt ra bạn mày đẹp hơn   vì màt chỉ được cái lưng dài lười biếng thui 🙃🙃,-1
móng tay và tóc theo thời gian thì mọc càng dài tại sao chỉ có con chim là nó không mọc dài hơn nữa ta,-1
tuyệt thật,1
năm nay vào quán net ngồi cho đỡ phải nhìn .....☺️,-1
bé tí mà đã có múi rồi :))),1
giờ nín ngay không ? việc gì phải khóc,0
chẳng phải chuyện hài nhưng sao tao thấy buồn cười quá   chắc thần kinh có vấn đề,1
chuẩn không can chinh,1
liên quan đéo gì . trung thu tết đoàn viên gia đình chứ đoàn viên người yêu đéo đâu .,-1
cái đồng hồ mọi người cho em hỏi giá bao nhiêu ạ,0
cụ í đỗ sai thì mợ cứ báo chính quyền thôi,0
tao chưa nghe nói kính thuỷ lực bai giờ .,0
khiển trách là bị mắng rồi má   lại còn bắt chép phạt ác thật,-1
dăm ba cái kỉu đây hồi nhỏ tao đốt chấy vài á mà 😃,1
cưng gì đâu,1
2 chúng mày yêu nhau chọc tức bọn fa tụi tao thêm cay chứ an ủi đéo gì,-1
per kkkk,1
tao của ngày này năm trước đang ước đừng lấy quỳ tím đem ra thử nghiệm . :(,-1
thính thơm không,0
ôi không đừng vậy mà :((,-1
sao mày không viết nhanh lên   mày lấy tay chặn làm gì có giúp mày tốt hơn không hả ???,-1
nghe anh ấy nới chuyện rất thuyết phục,1
khi nào tao nhìn con xò lông bánh bèo mà tao không mắc ói . thì khi đó tao lấy,0
có thể là nó yêu mày :)),0
per ối bạn ơi quà sinh nhật mình đây rồiiiii,1
ai cho mình xin page của con này với thích xem nó live stream bán đồ gê,1
cho nó đi trồng lại 10 ha và chăm sóc cho tới khi cây lớn bằng núc chúng nó bơm chết,0
toàn bọn óc chó . không có lương tâm . sao chúng nó lại làm như vậy không nghĩ hậu quả sau này sao .,-1
bảo không ly hôn cơ mà 😑  dma chơi nhau à,-1
cần phải tỉnh táo,0
per thật sự là có cách nào dắt bé đi theo được không ? 😭,0
thâ ̣ tao ra thi ̀ nê ́ u 1 thă ̀ người con trai no ́ yêu mày va ̀ coi tro ̣ người mày   câ ̀ n mày thi ̀ mày co ́ qua ́ i thai thê ́ na ̀ o no ́ cu ̃ người chi ̣ u đươ ̣ c va ̀ cô ́ gă ́ người la ̀ mày mày vui 🙂,1
phim nay xem rất nhiều lân nhưng quá hay vẫn muốn sẽ tiếp tục xem,1
thôi thì đi xem avenger lần 3 để tránh nóng nốt chiều nay không mai mưa rồi hehee,1
cho xin tí muối ạ,0
sao không cắt móng chân cho em ... nhìn mặt cute mà thấy móng chân em sợ phết,-1
đã từng xem em là tất cả . mỗi khi mỏi mệt về thấy em và con cười là anh hạnh phúc rồi,1
nằm đó mà mơ 🙂,-1
duyên quá nói chuyện hay,1
đm phạt 200 triệu đồng không có tiền đóng phạt 12 tháng tù cho biết   câu thích câu view dơ bẩn cho cá nhân mình,-1
gắt quá nha 😂,-1
đừng trách anh vô tình vì em đã vô tâm,0
wow   đẹp dữ vậy à hehe,1
ngồi chờ một người đi qua 1 và coi đó như 1 sự tình cờ 😂😂😂 tao đã từng   nhưng đó là tao của ngày xưa . buồn cười thật 😁,1
thôi   không tranh cãi   không lại các bác . nói chung không cấm thì đỗ   còn đỗ để làm gì thì do ý thức mỗi người,0
khóc vãi 😭,-1
việc của ông vũ giờ là mua nhiều thật nhiều cigar và lên chùa xây cái am trung nguyên thiền định tiếp đi qua ơi   qua quậy quá rồi để cho vợ và 4 con tiếp quản được rồi qua ơi .,-1
cũng là ninja như nhau mà cũng hơn thua làm gì vậy trời,-1
và vui mừng hơn khi biết tin chị vợ ở nhà vừa sinh hạ em bé được 1 tuần,1
lại là bà hàng xóm 😒,-1
bọn óc vật 🙂 đụng vào con cháu nhà tao thử,-1
hay . đỡ mệt,1
thế đàn ông có thường gục ngã trước một đứa con gái xấu không ? vậy nên đó là chuyện thường tình   đàn ông mê sắc đàn bà mê tiền   mỗi giới một đam mê   đó là công bằng   khi nào mày yêu một con xấu đi rồi hãy nói đạo lol,-1
per nhìn quen quen mày ơi,1
mà ô chủ xe cũng ngu vãi . mất công đậu thì đậu hẳn ra giữa đường day . để cho nó đỡ mất công về lại phải mất công đi đại tu,-1
gv có tâm vãi 😂,1
cầu mong chú có cuộc sống tốt hơn ❤,1
bạn bè thì nó hỏi han   hay nhắn tin thôi .. hồi trước hay ảo tưởng lắm   nhưng giờ lớn nên hết trẻ trâu rồi 🤣,0
khớp vãi =))))))) mặt con bé,1
mạng nhện chắc đóng kín rồi nhỉ,0
tao đéo ghê con rắn tao ghê mấy cái trồi lên kìa :))),-1
ngày ấy cũng từng như vậy ☺️,1
tao biết trước là nó sẽ lao vào màn hình mà   vậy nên tâm vẫn tỉnh lúc nó lao vào .,1
quả mặt dễ thương dữ vậy,1
lúc sinh ra rồi   con gái không nói   là con trai thì ổng sẽ phải ước mình chưa đẻ ra nó   có thêm đứa tranh vợ với mình mà 😂😂,0
cưng xĩu 😊😊,1
người ngoài hành tinh nói tiếng anh ????? nà ní ?????,1
nghĩ đến cảnh mặc áo là cảm thấy mất cả tuổi thanh xuân   chưa kể là lúc ngứa thì gãi kiểu gì 😂😂,1
cứ thấy nó là ăn không còn xác thì lấy gì chúng kịp phá . nhìn thèm ứ chịu được 😔😔😔,-1
xem video chị này công nhận hay và ý nghĩa thật . giờ lên xem vid mới biết về tuổi thơ chị này cơ cực thật đấy,1
nó giống tao ghê . gặp tao tao cũng chọn mày,1
hiện tại cảm thấy hạnh phúc khi môi trường làm việc toàn người lầy ....,1
đúng là mỹ nhanh gọn dứt khoát,1
khúc cuối cười lộn ruột,1
mặt con mèo giải trí dữ 😬,1
tại con này xấu quá không nhận diện được khuôn mặt,-1
đã ra tù nhưng chắc nhớ tù quá   muốn quay lại trại nên mặc quả đồ này :vậy,-1
anh có tin em giận lại anh không ?,1
ác đến vậy là cùng,-1
khi cô đơn lòng em nhớ ai :((,-1
nếu chiếc xe đỗ giữa cửa nhà tôi như trong hình của thớt tôi hoàn toàn không có cảm giác gì   kể cả ngày nào cũng vậy luôn .,0
đang định đi nhổ răng khôn   nghe được tin này thấy ghê răng 😁,-1
ước gì boss không co chân lên   tao vẫn sẽ nghĩ là boss thật khí chất =))),-1
xem xong tao đã khóc rất nhiều,-1
ha ha ❤️ chất lắm,1
bộ này hoàn hảo quá,1
đậu . tao mê nhất là giọng tuy hòa phú yên . nó luôn mang một ấn tượng sâu sắc . nghe cứ thích thế nào ấy,1
lại ngáo đá rồi,-1
tao thì nói xong lại thấy người ta không hứng thú thì lại lượn,-1
để có được cái nắm tay tuổi già là bao giông bão của tuổi trẻ . mấy ai qua được bão giông ?,1
quan trọng là có per luôn tạo độ khó game cho tôi :))) và không thể thiếu sự trợ giúp của các anh em trong team 😂,1
điều tồi tệ là học nửa vời chã ra làm sao,-1
chỉ có màn hình là xấu thui,0
cùng câu hỏi .. vụ thang máy thì sao nhỉ,0
mỗi ngày đi làm về   tôi không vội vào thang ngay mà thường ngồi sảnh tầm 20p chỉ để ngắm gái xinh cùng tòa 😆.,1
đây mới là công an của nhân dân việt nam cảm ơn bạn nhiều điều tốt đẹp hơn nhé vanew,1
per sau hôm sinh nhật là có cái này . ngon vãi,1
per kinh dị thấy mệ luôn nè,-1
tuy hơi fail 1 chút nhưng rất có năng khiếu lớn lên không chừng làm ca sĩ ấy chứ đừng đùa,0
đúng là tấm gương xáng để con cháu noi theo =)))))),1
khi đã đổ vỡ hàn gắn lại chắc gì đã được như lúc đầu :'<,-1
tào lao   bịa đặt,-1
chia sẻ cho anh em   haha,1
cách này nhiều người áp dụng quá rồi :))),1
tưởng bú được vài cái thích của tụi dân trí thấp thì mình khôn ?,-1
doume khó vậy mà cũng nghĩ ra được 🤣,1
sao ảnh này nhìn con rắn đáng yêuc vãi :))),1
sau mưa ra đường sợ nhất gặp giun,-1
per đứa nào nghĩ ra được cái qcao hay vãi ...,1
bạn trai thì chưa . nhưng mỗi lần thằng bạn nó cắt tóc cạo râu thì auto nhìn đẹp trai,1
í thức mấy đứa đi xem như lol .,-1
đã từng . và bị phũ như 1 con chó 🐶😂😂😂😂,-1
thiểu năng đội cái nón không nổi thì sao đủ năng lực chạy xe . nhìn là thấy hãm .,-1
anh lấy đi niềm tin trả lại cho em những gì,-1
thông minh lắm,1
thêm cái trang này ăn cắp ý tưởng của tôi,-1
đề nghị các bạn giữ trật tự trong rạp phim !!!!!!,0
cam mà vắt thế chỉ có đắng nhé thôi đồ ngu,-1
t sẽ tự an ủi tất cả chỉ là diễn thôi   diễn thôi   đéo thể tin được đâu 😏,-1
ngu hết phần thiên hạ,-1
tin tao đi tiền là thứ duy nhất làm động lực để mày vui :)) tao chia tay xong . cắm mặt vào làm để mua sắm và du lịch :)),0
tao thấy con mèo xinh hơn,1
cho nó cắn phát xem có thành spider man không 😂,1
bếp ga hj hj 🤣🤣🤣🤣🤣🤣,1
từ hành động và lời nói của tụi nhỏ này không biết nên trách ai bây giờ    thối nát một thế hệ,-1
sớm bình phục nhé,0
căn bản là họ không đáng cho mình trân trọng thôi . per,-1
giống thằng này vãi :))),1
năm nào cả sinh nhật âm hay dương mẹ cũng gọi điện cho mình   bà ngoại trên 80   bác ruột mình đều nhớ hết 😂😂😂,1
quan trọng nhất vẫn là tấm lòng 🙂,0
cái mặt hoang mang thấy thương 😆❤️,1
nhìn ức chế vãi,-1
coi mà cái tay nó rung trái tim nó đập sợ cái thằng đó té sấp mặt luôn thì không bình thường họa mi còn hót được không :)))),-1
nhìn kinh vãi,-1
hỡi thế gian tình ái là chi mà đôi lứa nguyện thề sống chết ? 😁😁,0
per bất nghờ bốc cháy,0
"đọc bình luận mới công nhận "" mấy đứa nói đạo lý sống như lol "". đây là câu chuyện vui bạn bè trêu nhau thôi không đến lượt mấy người dạy bé cách cư xử như thế nào đâu . có người con như thế nào bố sẽ rất tự hào đấy",-1
chuẩn kkk 😁,1
��😂😂 nhìn và đợi chúng nó chia tay,0
làm mấy chuyện dở người để được nó chú ý,0
không mưa thì kêu trời mưa thì cũng kêu trời,-1
họ có thể không giàu có về vật chất nhưng hạnh phúc của họ giàu hơn rất nhìu người ❤,0
người ta ăn hàng tỉ lại phát 5 tr   còn gì là pháp luật nữa,-1
à còn có thể loại con trai cắt tóc xong rồi tự soi gương xong khen mình đẹp trai mới vãi,-1
per đi làm với c mình vui hết xẩy   trừ những lúc khó tính :)),1
phải tôi đỗ lên vỉa hè giáp cửa nhà bạn bán hàng luôn . vỉa hè rộng thế kia cơ mà .??????????,0
cảm thấy sợ mấy thứ suy nghĩ cổ hủ của người lớn :(,-1
bò ra mà cười :)),1
per xem cái này đỡ chán đi ông,0
em buông tay anh nhé .... quá khứ ấy anh hãy xoá hết đi .......,-1
thông minh vãi,1
gửi đứa nào chưa có người yêu,0
mày lười vãi lol,-1
đi xem 1 mình có sợ ma không 🤔,0
chả thấy nói nó cho admin bao nhiêu xiền để pr nhỉ,0
tôi đã xem đi xem lại 3 lần và xem lại lần hai mới hiểu hết nội dung và thấy hay hơn khi xem lại lần 3 . ai chưa xem hãy vào xem thử 2 lần !,1
anh biết em có nhiều chuyện   nhưng việc trước mắt là em nộp phạt đã   nếu không xe em sẽ bị thu vào đồn,0
thế hóa ra nguy cơ trầm cảm của tao cao lắm,-1
mày giận lại tao hả tốt quá bố mày được đi chơi game rồi . tối về dỗ nó sau . chờ mãi câu giận của mày :)),1
đừng đùa với người nước ngoài nhé,0
làm giáo sư mấy chục năm mà cuốn giáo trình chưa thuộc hết nữa à,-1
anh lỡ mất em rồi huhu,-1
nhớ lại ngày xưa,0
bình tĩnh vãi_chưởng =)),1
đai giảm tốc độ kiểu ấy mà gặp mấy bà đang đau đẻ là xác định đẻ trên xe hay ở nhà đi rồi hẳn đem lên bệnh viện 😂😂😂,-1
thạ timmmmm đùa tao yêu mặt nó lúc ôm đầu vlllll xinh quá con ưiiiiiiii,1
đứa nào tin là đơn giản thế ra đây tao tát cho vài cái cho tỉnh :),-1
mẹ . trung thu là tết thiếu nhi . có phải mùa động dục đâu mà phải có người yêu nhỉ . vớ va vớ vẩn 😒,-1
nhiều khi cũng muốn người yêu chọc để dỗi phát cho bằng người ta . mà nhận ra mình làm gì có người yêu 😌,-1
lâu lâu mới có dịp ăn bánh trung thu mà gặp bán hàng halo thế này thì cho ế mẹ luôn không mua bán gì hết . xem ai bất hạnh hơn ?,-1
ngáo như con cáo rồi ????,0
khác đéo gì . về thái độ lồi lõm nhìn muốn sút cho phát 🤬🤬,-1
mấy con gà bị lừa mà đéo biết .,0
móng dài thế lúc đi ỉa xong làm sao xịt nước . xịt nước 1 tay còn tay kia phải rửa đít mới sạch được chứ . khả năng cao ông này dùng giấy chứ không dùng vòi xịt,-1
chút mua ... hehe,1
tạm biệt ánh sáng của đời tao,-1
cái tháng học sấp mặt luôn,-1
làm ở đâu không quan trọng . quan trọng là có chị em tốt để tạo nghiệp :)))),1
giống chó này hình như không có lông ạ ?? chó nhà em lông rụng đầy nhà .. huhu,-1
tôi từng được sống . nhưng đấy là truyện của năm ngoái rồi,-1
một lũ ngu,-1
dễ thươnggg,1
vãi cả phí   có ... 81 tỷ hoy 😓,-1
ra tới cổng tao nói ha xấu cái chắc tao cười ỉa,-1
nếu địa phương không xây cầu thì người dân cũng có thể tự làm cầu cây mà . phóng lỡ hụt chân thì xác định nát người .,-1
cứ chiếu mấy bộ phim thế này bảo sao tụi nhỏ không chịu học,-1
giận làm gì cho mệt 🙄 đằng nào mày cũnh phải xin lỗi tao mà,0
móng của bố tao . hồi trước và bây giờ đã cắt vì lý do . sức khoẻ .,-1
uầy các cụ ngày xưa đẹp trai xinh gái thế,1
nín đi . sang ngủ với mẹ đi đêm nay anh chông chị cho =))),1
không nghe lời cha mẹ   không ăn học   giờ đi hốt rác . không có giá trị trong xã hội   bày đặt chữi ai .,-1
mày không phải nhảy vào mồm tao như thế . nhảy vào là tao cạp cạp cạp ...,-1
mình thiì chưa năm nào được trọn vẹn,-1
loại mất dậy,-1
hỏi thế gian tình ái là chi =)))),0
quả mắt nhìn sợ vãi,-1
vặt đôi gương cảnh cáo :)),-1
per chúng ta vẩn xài . kk,1
per nhớ lần mua mộc ra bờ sông ghê . đã thế còn làm li đặc biệt . dm,0
cảm xúc đéo gì khi mà họp lớp đéo đi,-1
vừa xử lí vừa thải nước bẩn ra liên tục thì coi như bó tay,-1
moá cưng quá ??,1
má con đàn bà thối mồm gặp thằng say hèm,-1
đó là dấu hiện của sự trưởng thành =))))))))),1
cứ mỗi lần có phim hay là xách nhau đi 🤣,1
vãi đông như này á 😢,1
cười muốn tắt thở 😂😂😂,1
ừ thế là kể từ đấy về sau đứa con trai nào cũng trở thành huynh đệ với nó hết,0
per không lẽ sau này kím bạn trai không tập gym 😖,-1
per huhuu không biết lúc đấy thực tập chưa :(((,-1
chất quá .. haha,1
per cái thứ yêu nghiệt này cứ thấy tao như thấy crush   cứ gặp tao là đuổi :),-1
ốm cũng được   chỉ cần mát thôi 😌,0
cái vị mà ai cũg muốn thử và mỗi người thử lại cảm nhận được một vị riêng,0
per mày ăn ở kiểu gì mà ra được cái này luôn thế,1
chứ còn con mẹ gì nữa 😔,-1
per 2ce thì có thể làm được   ly mà làm như vầy thì 🤣,0
- chủ tịch giả nghèo bán vé số và cái kết -> đừng bao giờ xem thường người khác,-1
phải giết ngay không nó lại đẻ trứng,0
yêu chết dược 😍😍😍,1
thằng bạn ngồi kế bên lớp 2 nhà bán vàng mà nó học dốt   thế là làm bình thường về nhà cho nó   1 bài 2k   mồi ngày kiếm 8 - 10k 🤑,1
để tao nấu thì quên luôn . xác định tối đó đói :((,-1
ngưỡn mộ chi lâu lắm oy . mà giờ biết thêm nhiều về chj nữa nên càng yêuc chj nhiều hơn 😍😍😍,1
haha cứ lên xuống thấp thỏm kìa ..,1
còn nhiều người chưa có người yêu lắm :),0
các bạn trẻ ! người lớn có thể nghe thấy tiếng chó kêu mà không hành động gì để cứu vớt . các em thật đáng khen . cần những bạn trẻ nhân ái như các bạn .,1
cuối cùng per cũng thành công rồi nha per nha,1
�� lau mặt bằng quần chíp của vợ à ?,1
đồng nghiệp của tôi là ai 😑,-1
con chó có đuôi . con người có ý thức . đm mấy thằng lol này ý thức đéo bằng con ruồi .,-1
khi xưa bị rượt 1 lần mà nhớ đời   còn mổ tao nữa chứ 😨😨😨,-1
việc mày giận lại không còn quan trọng khi mày đéo còn là món mà nó hứng thú nữa 🙂,-1
gì mà ghê vậy 😑 sởn gai ốc,-1
ngầu lắm bạn ạ ^^,1
thực ra chỉ cần nhập đúng input là được thôi mà :d,1
dăm ba chuyện hẹn hò có gì hay ho 😌 nhưng mà thi thoảng có dăm ba cái chuyện này cũng hay 🙂 tóm lại xem để giải trí đỡ buồn cũng tốt 🙂,1
t tưởng nó nói tiếng việt chứ,0
má đáng yêuc quá dạyyyy ??,1
per đẳng cấp nào rồi em,0
sao mày không như crush của tao   thuỷ triều lên cũng đéo sợ nhé 😆,1
khổ thân vãi :)) xong bà lườm luôn :)),-1
học sinh cứ làm mấy việc tốt như thế này có phải các phụ huynh yên tâm không . 😍😍,0
dù trời có sập cũng phải ăn đã nhé :))) anh có gấp lắm cũng phải chờ em nhé 🤣🤣🤣,1
cưng thiệt chớ ????,1
màu này lạ quá   kết hợp hài hòa đẹp quá,0
dùng iq xíu đi mấy má   người ta đang mô tả tình yêu của người ta,0
đây là hình ảnh của boss trước khi có vợ và sau khi có vợ là một tr một vực,0
ý thức người khác không tốt thì cũng chẳng bao biện được hành xử của bạn không tốt . nghe từ đầu đến cuối là tiếng la hét chửi rủa -.-,-1
